annotation_id,customer_tweet_id,customer_created_at,customer_text,support_tweet_id,support_created_at,support_reply,exploratory_cluster,intent,reviewer_notes,escalation_expected,golden_eval,draft_intent,draft_score,draft_margin,draft_hit,ml_intent,ml_conf
AQ-0001,18916,Fri Nov 03 09:51:51 +0000 2017,@AmazonHelp @115850 @AmazonHelp @115821 . In the last 5 working days u ppl not able to arrange pick up.I m waiting for return since 30 days.,18917,Fri Nov 03 10:19:52 +0000 2017,@120227 Sorry about that! Could you kindly confirm if you have filled in the details with the link provided earlier? ^PB,,return_replacement,AI-assisted draft label; human verification required before use as golden evaluation.,,,return_replacement,6,5,"\breturn\b, pick\s*up",return_replacement,0.34924981642395686
AQ-0002,25931,Wed Nov 01 09:46:57 +0000 2017,@AmazonHelp Screenshot wurde vor 10 Minuten gemacht :) Danke für die schnelle Rückmeldung.,25929,Wed Nov 01 09:49:02 +0000 2017,@121658 Gerne.,,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,5,5,,other_ambiguous,0.2858431339422317
AQ-0003,27825,Wed Nov 01 11:00:51 +0000 2017,@AmazonHelp I don’t have an amazon account. The parcel has been delivered to the wrong address.,27827,Wed Nov 01 11:06:30 +0000 2017,"@122091 Oh, ok. You can get in touch using https://t.co/rkZgLcLkcO. ^BM",,delivery_attempt_problem,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_attempt_problem,6,5,wrong address,delivery_attempt_problem,0.2739659521811185
AQ-0004,13167,Wed Nov 01 01:52:28 +0000 2017,"@115850 Unable to what they promised not gave one plus 5 offer only sale product after they Dont care also not return back,Its hopless😡",13166,Wed Nov 01 01:55:00 +0000 2017,@118703 Sorry for the inconvenience. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^MK,,return_replacement,AI-assisted draft label; human verification required before use as golden evaluation.,,,return_replacement,5,4,\breturn\b,return_replacement,0.3267199465065775
AQ-0005,35149,Fri Nov 03 09:27:21 +0000 2017,@AmazonHelp Yes many times since yesterday however am getting very little help and the return pick is getting rescheduled every time,35150,Fri Nov 03 09:30:31 +0000 2017,@123653 We regret the inconvenience. Please fill in your details here: https://t.co/GIJyeYqKE0. We’ll look into it. ^SB,,return_replacement,AI-assisted draft label; human verification required before use as golden evaluation.,,,return_replacement,5,5,\breturn\b,return_replacement,0.3329502029147283
AQ-0006,91506,Sat Dec 02 04:57:00 +0000 2017,"@AmazonHelp @115851 @115850 @4773 @AmazonHelp now see 4 more Screenshot of Order ID-4__credit_card__. __email__, Reg Mob-9717597841.i am perpetually contacting Amazon to Deliver this product on High But ATS failed to Deliver.Need Token of Apology for this Rs1000 Gift https://t.co/4BtNTr9Ixl",91507,Sat Dec 02 05:06:00 +0000 2017,"@135838 I'm sorry for the delay of your order. We'd like to look into it. Please share your details here: https://t.co/beaaDlIL5C we'll reach out to you soon. Also, please don't provide your order details, as we consider it to be personal information. ^AP",,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_attempt_problem,6,5,failed to deliver,delivery_delay,0.2325431622976768
AQ-0007,31325,Wed Nov 01 13:29:00 +0000 2017,@AmazonHelp Tell me how soon,31326,Wed Nov 01 13:42:31 +0000 2017,"@120032 definite timeline, however we'll contact you soon. 2/2 ^KH",,order_status_tracking,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,1,1,how soon,order_status_tracking,0.4393875731077119
AQ-0008,78748,Thu Nov 30 13:04:10 +0000 2017,@AmazonHelp All I hear is that I should get it my dec 5th but this is a Xmas gift that I am shipping out of country it needs to be mailed by dec 1st,78749,Thu Nov 30 13:14:34 +0000 2017,@133566 So sorry about the delay. We do aim to deliver by the delivery date given at the time the order was placed. ^KM,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,1,1,shipping,delivery_delay,0.24146279192083425
AQ-0009,63952,Thu Nov 30 09:10:43 +0000 2017,@AmazonHelp I have done TWICE palmed off once no reply other,63953,Thu Nov 30 09:18:00 +0000 2017,"@130690 I'm sorry about the poor experience. As the refund was processed for you the investigation with the carrier would have been internal, you may not receive any update from that. If you contact us at the link provided we can check if any info was provided. ^MI",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,account_technical_support,0.20700325000255845
AQ-0010,54368,Wed Nov 01 19:09:22 +0000 2017,Paid for one day shipping and the last time my order was located was a whole 26 hours ago in NH @AmazonHelp,54366,Wed Nov 01 19:14:00 +0000 2017,@128306 Have we missed the delivery date for this order? Who is the carrier for your order: https://t.co/Y5jpI9gRhE? ^WM,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,delivery_delay,1,0,shipping,delivery_delay,0.23584996898522595
AQ-0011,77528,Thu Nov 30 12:07:17 +0000 2017,@116316 Wann wird es denn den Alexa Skill zu #destiny2 auch in Deutschland geben?,77526,Thu Nov 30 12:13:01 +0000 2017,@133272 Meinst du diesen Skill? https://t.co/BoQdTJB3L4 ^MS,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,4,4,,account_technical_support,0.2071635835017853
AQ-0012,78734,Wed Nov 29 12:19:12 +0000 2017,"@AmazonHelp Hey, I placed an order as a gift, the order says it was left in secure location but my friend hasn't received. No option to contact seller on my order page. What can I do to get refund/other one sent? Thanks",78733,Wed Nov 29 12:24:29 +0000 2017,@133563 I am sorry your friend is unable to locate the gift! Try these tips and let us know: https://t.co/i28OEI7boI ^DJ,,delivery_attempt_problem,AI-assisted draft label; human verification required before use as golden evaluation.,,,refund,5,4,\brefund\b,delivery_attempt_problem,0.2713506077439767
AQ-0013,26951,Wed Nov 01 10:19:18 +0000 2017,@AmazonHelp So if there service is not good then why you are allowing them to sell their products on your portal...You will help me or not,26953,Wed Nov 01 10:51:00 +0000 2017,@121898 I'm sorry but we'll not be able to look into this until we receive a service denial letter. ^HK,,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,help me,account_technical_support,0.2099709767349834
AQ-0014,18716,Wed Nov 01 05:35:30 +0000 2017,@8078 @115821 I don't know who is at fault. I ordered an elgato hd60s but received an empty box. There are 5 others in same sitch https://t.co/XgYujaMC94,18714,Wed Nov 01 05:47:00 +0000 2017,@120175 Oh no! I'm sorry your package arrived empty! Was this order shipped by Amazon or a third-party seller? ^QJ,,product_item_issue,AI-assisted draft label; human verification required before use as golden evaluation.,,,product_item_issue,5,5,empty box,product_item_issue,0.3049255990843776
AQ-0015,33261,Wed Nov 01 13:12:16 +0000 2017,@AmazonHelp I already dialed your CS team twice and as I am talking I just got the text below: what the hell is wrong with you people! I am waiting https://t.co/TzW6N8vKGH,33263,Wed Nov 01 13:30:35 +0000 2017,@123351 Please fill this form: https://t.co/beaaDm0muc and we'll contact you at the earliest. (2/2) ^MO,,delivery_delay,AI-assisted draft label; human verification required before use as golden evaluation.,,,other_ambiguous,1,1,,delivery_delay,0.23170159844324423
AQ-0016,80651,Thu Nov 30 12:41:37 +0000 2017,"@AmazonHelp @115850 @115821 is it the service provided by supervisor in #Amazon one left chatt without giving solution. I am buyer of https://t.co/WUJPRciLDx n Amazon.in both, 1st time such rude behavior of Amazon,d worst prt he was supervisor.wht D benefits 4 high value cstmr https://t.co/Ge2RRgn84X",80649,Thu Nov 30 13:01:28 +0000 2017,"@133894 I'm sorry for the unpleasant experience, please share your details here https://t.co/GIJyeYqKE0, we would look into this. ^MD",,account_technical_support,AI-assisted draft label; human verification required before use as golden evaluation.,,,account_technical_support,1,1,chat,account_technical_support,0.19759260329408807
AQ-0017,27392,Wed Nov 01 10:06:49 +0000 2017,@120474 Nooooo!!! Why is this happening when I haven't booked any tickets yet?? For Morrissey at Brighton! 😡😡 https://t.co/sDZX5bifT6,27390,Wed Nov 01 10:18:00 +0000 2017,@122001 Sorry to see this. Please reach out to us here: https://t.co/WTB5N3xs37 and we will look into this. ^PK,,other_ambiguous,"AI-assisted draft: message is non-actionable, off-taxonomy, conversational, or insufficiently specific; human verification required.",,,other_ambiguous,4,3,,other_ambiguous,0.27173631134861986
